Date,Price,Open,High,Low,Vol.,Change %
"Aug 15, 2014",155.39,155.39,155.39,155.39,0,0.02
"Aug 14, 2014",155.36,155.36,155.36,155.36,0,0.56
"Aug 13, 2014",154.5,154.5,154.5,154.5,0,0.06
"Aug 12, 2014",154.4,154.4,154.4,154.4,0,-0.01
"Aug 11, 2014",154.41,154.41,154.41,154.41,0,-0.08
"Aug 08, 2014",154.53,154.53,154.53,154.53,0,-0.83
"Aug 07, 2014",155.83,155.83,155.83,155.83,0,-0.54
"Aug 06, 2014",156.68,156.68,156.68,156.68,0,0.83
"Aug 05, 2014",155.39,155.39,155.39,155.39,0,1.15
"Aug 04, 2014",153.62,153.62,153.62,153.62,0,0.29
"Aug 01, 2014",153.18,153.18,153.18,153.18,0,0.98
"Jul 31, 2014",151.69,151.69,151.69,151.69,0,0.08
"Jul 30, 2014",151.57,151.57,151.57,151.57,0,0.78
"Jul 28, 2014",150.4,150.4,150.4,150.4,0,0
"Jul 25, 2014",150.4,151.42,151.42,150.4,0,-0.4
"Jul 24, 2014",151.01,151.01,151.01,151.01,0,-0.34
"Jul 23, 2014",151.53,151.53,151.53,151.53,0,0.5
"Jul 22, 2014",150.77,150.77,150.77,150.77,0,-0.2
"Jul 21, 2014",151.07,151.07,151.07,151.07,0,-0.32
"Jul 18, 2014",151.55,151.55,151.55,151.55,0,0.34
"Jul 17, 2014",151.03,151.03,151.03,151.03,0,0.36
"Jul 16, 2014",150.49,150.49,150.49,150.49,0,-0.42
"Jul 15, 2014",151.12,151.12,151.12,151.12,0,-0.05
"Jul 14, 2014",151.19,151.19,151.19,151.19,0,0.05
"Jul 11, 2014",151.12,151.12,151.12,151.12,0,-0.53
"Jul 10, 2014",151.93,151.93,151.93,151.93,0,-0.18
"Jul 09, 2014",152.2,152.2,152.2,152.2,0,-0.06
"Jul 08, 2014",152.29,152.29,152.29,152.29,0,0.18
"Jul 07, 2014",152.02,152.02,152.02,152.02,0,-0.05
"Jul 04, 2014",152.09,152.09,152.09,152.09,0,-0.35
"Jul 03, 2014",152.63,152.63,152.63,152.63,0,-0.66
"Jul 02, 2014",153.64,153.64,153.64,153.64,0,1.01
"Jul 01, 2014",152.11,152.11,152.11,152.11,0,1.16
"Jun 30, 2014",150.37,150.37,150.37,150.37,0,0.45
"Jun 27, 2014",149.69,149.69,149.69,149.69,0,0.11
"Jun 26, 2014",149.52,149.52,149.52,149.52,0,-0.09
"Jun 25, 2014",149.66,149.66,149.66,149.66,0,-0.17
"Jun 24, 2014",149.92,149.92,149.92,149.92,0,-0.17
"Jun 23, 2014",150.17,150.17,150.17,150.17,0,0.3
"Jun 20, 2014",149.72,149.72,149.72,149.72,0,0.21
"Jun 19, 2014",149.41,149.41,149.41,149.41,0,0.26
"Jun 18, 2014",149.02,149.02,149.02,149.02,0,0.12
"Jun 17, 2014",148.84,148.84,148.84,148.84,0,-0.42
"Jun 16, 2014",149.47,149.47,149.47,149.47,0,-0.75
"Jun 13, 2014",150.6,150.6,150.6,150.6,0,0.37
"Jun 12, 2014",150.04,150.04,150.04,150.04,0,-0.03
"Jun 11, 2014",150.09,150.09,150.09,150.09,0,-0.1
"Jun 10, 2014",150.24,150.24,150.24,150.24,0,0.42
"Jun 09, 2014",149.61,149.61,149.61,149.61,0,0.19
"Jun 06, 2014",149.33,149.33,149.33,149.33,0,0.03
"Jun 05, 2014",149.29,149.29,149.29,149.29,0,0
"Jun 04, 2014",149.29,149.24,149.29,149.24,0,0.11
"Jun 03, 2014",149.12,149.12,149.12,149.12,0,-0.72
"May 30, 2014",150.2,150.2,150.2,150.2,0,0.24
"May 29, 2014",149.84,149.84,149.84,149.84,0,0.45
"May 28, 2014",149.17,149.17,149.17,149.17,0,-0.05
"May 27, 2014",149.24,149.24,149.24,149.24,0,-0.11
"May 26, 2014",149.41,149.41,149.41,149.41,0,-0.26
"May 23, 2014",149.8,149.8,149.8,149.8,0,-0.17
"May 22, 2014",150.05,150.05,150.05,150.05,0,-0.17
"May 21, 2014",150.31,150.31,150.31,150.31,0,-0.13
"May 20, 2014",150.51,150.51,150.51,150.51,0,-0.05
"May 19, 2014",150.58,150.58,150.58,150.58,0,-0.38
"May 16, 2014",151.15,151.15,151.15,151.15,0,0.28
"May 15, 2014",150.73,150.73,150.73,150.73,0,-0.36
"May 14, 2014",151.28,151.28,151.28,151.28,0,-0.65
"May 13, 2014",152.27,152.27,152.27,152.27,0,-0.26
"May 12, 2014",152.67,152.67,152.67,152.67,0,0.47
"May 09, 2014",151.95,151.95,151.95,151.95,0,0.11
"May 08, 2014",151.78,151.78,151.78,151.78,0,0.01
"May 07, 2014",151.77,151.77,151.77,151.77,0,0.22
"May 06, 2014",151.43,151.43,151.43,151.43,0,-0.11
"May 05, 2014",151.6,151.6,151.6,151.6,0,-0.16
"May 02, 2014",151.85,151.85,151.85,151.85,0,0.48
"Apr 30, 2014",151.13,151.13,151.13,151.13,0,-0.03
"Apr 29, 2014",151.18,151.18,151.18,151.18,0,0.49
"Apr 28, 2014",150.45,150.45,150.45,150.45,0,-0.01
"Apr 25, 2014",150.46,150.46,150.46,150.46,0,0.34
"Apr 24, 2014",149.95,149.95,149.95,149.95,0,1
"Apr 23, 2014",148.46,148.46,148.46,148.46,0,0.16
"Apr 22, 2014",148.22,148.22,148.22,148.22,0,0.07
"Apr 17, 2014",148.11,148.11,148.11,148.11,0,0.5
"Apr 16, 2014",147.37,147.37,147.37,147.37,0,0.65
"Apr 15, 2014",146.42,146.42,146.42,146.42,0,0.69
"Apr 14, 2014",145.41,145.41,145.41,145.41,0,0.19
"Apr 11, 2014",145.14,145.14,145.14,145.14,0,0.54
"Apr 10, 2014",144.36,144.36,144.36,144.36,0,0.47
"Apr 09, 2014",143.68,143.68,143.68,143.68,0,0.57
"Apr 08, 2014",142.87,142.87,142.87,142.87,0,0.06
"Apr 07, 2014",142.79,142.79,142.79,142.79,0,-0.43
"Apr 04, 2014",143.4,143.4,143.4,143.4,0,-0.35
"Apr 03, 2014",143.91,143.91,143.91,143.91,0,0.1
"Apr 02, 2014",143.77,143.77,143.77,143.77,0,0.01
"Apr 01, 2014",143.76,143.76,143.76,143.76,0,-0.09
"Mar 31, 2014",143.89,143.89,143.89,143.89,0,-0.34
"Mar 28, 2014",144.38,144.38,144.38,144.38,0,-0.12
"Mar 27, 2014",144.55,144.55,144.55,144.55,0,-0.3
"Mar 26, 2014",144.99,144.99,144.99,144.99,0,0.18
"Mar 25, 2014",144.73,144.73,144.73,144.73,0,-3.27
"Mar 24, 2014",149.63,149.63,149.63,149.63,0,3.55
"Mar 21, 2014",144.5,144.5,144.5,144.5,0,0
"Mar 20, 2014",144.5,144.5,144.5,144.5,0,0.54
"Mar 19, 2014",143.72,143.72,143.72,143.72,0,0.52
"Mar 18, 2014",142.98,142.98,142.98,142.98,0,0.03
"Mar 17, 2014",142.94,142.94,142.94,142.94,0,-0.44
"Mar 14, 2014",143.57,143.57,143.57,143.57,0,-0.5
"Mar 13, 2014",144.29,144.29,144.29,144.29,0,1.39
"Mar 12, 2014",142.31,142.31,142.31,142.31,0,0.3
"Mar 11, 2014",141.88,141.88,141.88,141.88,0,0.02
"Mar 10, 2014",141.85,141.85,141.85,141.85,0,0.7
"Mar 07, 2014",140.87,140.87,140.87,140.87,0,-0.05
"Mar 06, 2014",140.94,140.94,140.94,140.94,0,0.59
"Mar 05, 2014",140.12,140.12,140.12,140.12,0,-0.17
"Mar 04, 2014",140.36,140.36,140.36,140.36,0,-0.35
"Mar 03, 2014",140.85,140.85,140.85,140.85,0,-0.14
"Feb 28, 2014",141.05,141.05,141.05,141.05,0,-0.04
"Feb 27, 2014",141.11,141.11,141.11,141.11,0,0.05
"Feb 26, 2014",141.04,141.04,141.04,141.04,0,0.28
"Feb 25, 2014",140.65,140.65,140.65,140.65,0,0.77
